X=0, Y=0, distance between=0.0
X=5, Y=7, distance between=0.000470520380363
X=5, Y=8, distance between=0.00038704095804
X=5, Y=9, distance between=0.000895506530368
X=5, Y=10, distance between=0.000781670954473
X=5, Y=11, distance between=0.00302802631879
X=5, Y=12, distance between=0.000288383458932
X=5, Y=13, distance between=0.000242849228574
X=5, Y=14, distance between=0.000819616146438
X=5, Y=15, distance between=0.00115353383573
X=5, Y=16, distance between=0.000508465572327
X=5, Y=17, distance between=0.000895506530368
X=5, Y=18, distance between=0.0013963830643
X=5, Y=19, distance between=0.00101693114465
X=5, Y=20, distance between=0.000880328453582
X=5, Y=21, distance between=0.000364273842861
X=5, Y=22, distance between=0.000925862683939
X=5, Y=23, distance between=0.000660246340186
X=5, Y=24, distance between=0.00135843787234
X=5, Y=25, distance between=0.0013963830643
X=5, Y=26, distance between=0.00163164325448
X=5, Y=27, distance between=0.000447753265184
X=5, Y=28, distance between=0.00167717748484
X=5, Y=29, distance between=0.000667835378579
X=5, Y=30, distance between=0.000683013455365
X=5, Y=31, distance between=0.0017227117152
X=5, Y=32, distance between=0.000159369806252
X=5, Y=33, distance between=6.83013455365e-05
Best distance for picture 6 was 6.83013455365e-05 at Y = 34
X=6, Y=0, distance between=0.000963807875904
X=6, Y=1, distance between=0.000136602691073
X=6, Y=2, distance between=0.000417397111612
X=6, Y=3, distance between=0.000500876533934
X=6, Y=4, distance between=0.000508465572327
X=6, Y=5, distance between=0.000303561535718
X=6, Y=6, distance between=0.0
X=6, Y=7, distance between=0.000166958844645
X=6, Y=8, distance between=8.34794223225e-05
X=6, Y=9, distance between=0.00059194499465
X=6, Y=10, distance between=0.000478109418756
X=6, Y=11, distance between=0.00272446478307
X=6, Y=12, distance between=1.51780767859e-05
X=6, Y=13, distance between=6.07123071436e-05
X=6, Y=14, distance between=0.00051605461072
X=6, Y=15, distance between=0.00084997230001
X=6, Y=16, distance between=0.00020490403661
X=6, Y=17, distance between=0.00059194499465
X=6, Y=18, distance between=0.00109282152858
X=6, Y=19, distance between=0.000713369608937
X=6, Y=20, distance between=0.000576766917864
X=6, Y=21, distance between=6.07123071436e-05
X=6, Y=22, distance between=0.000622301148221
X=6, Y=23, distance between=0.000356684804468
X=6, Y=24, distance between=0.00105487633662
X=6, Y=25, distance between=0.00109282152858
X=6, Y=26, distance between=0.00132808171877
X=6, Y=27, distance between=0.000144191729466
X=6, Y=28, distance between=0.00137361594912
X=6, Y=29, distance between=0.000364273842861
X=6, Y=30, distance between=0.000379451919647
X=6, Y=31, distance between=0.00141915017948
X=6, Y=32, distance between=0.000144191729466
X=6, Y=33, distance between=0.000235260190181
Best distance for picture 7 was 1.51780767859e-05 at Y = 13
X=7, Y=0, distance between=0.00113076672055
X=7, Y=1, distance between=0.000303561535718
X=7, Y=2, distance between=0.000250438266967
X=7, Y=3, distance between=0.00033391768929
X=7, Y=4, distance between=0.000341506727683
X=7, Y=5, distance between=0.000470520380363
X=7, Y=6, distance between=0.000166958844645
X=7, Y=7, distance between=0.0
X=7, Y=8, distance between=8.34794223223e-05
X=7, Y=9, distance between=0.000424986150005
X=7, Y=10, distance between=0.000311150574111
X=7, Y=11, distance between=0.00255750593842
X=7, Y=12, distance between=0.000182136921431
X=7, Y=13, distance between=0.000227671151788
X=7, Y=14, distance between=0.000349095766075
X=7, Y=15, distance between=0.000683013455365
X=7, Y=16, distance between=3.79451919648e-05
X=7, Y=17, distance between=0.000424986150005
X=7, Y=18, distance between=0.000925862683939
X=7, Y=19, distance between=0.000546410764292
X=7, Y=20, distance between=0.000409808073219
X=7, Y=21, distance between=0.000106246537501
X=7, Y=22, distance between=0.000455342303577
X=7, Y=23, distance between=0.000189725959824
X=7, Y=24, distance between=0.000887917491975
X=7, Y=25, distance between=0.000925862683939
X=7, Y=26, distance between=0.00116112287412
X=7, Y=27, distance between=2.27671151788e-05
X=7, Y=28, distance between=0.00120665710448
X=7, Y=29, distance between=0.000197314998217
X=7, Y=30, distance between=0.000212493075002
X=7, Y=31, distance between=0.00125219133484
X=7, Y=32, distance between=0.000311150574111
X=7, Y=33, distance between=0.000402219034826
Best distance for picture 8 was 2.27671151788e-05 at Y = 28
X=8, Y=0, distance between=0.00104728729823
X=8, Y=1, distance between=0.000220082113395
X=8, Y=2, distance between=0.00033391768929
X=8, Y=3, distance between=0.000417397111612
X=8, Y=4, distance between=0.000424986150005
X=8, Y=5, distance between=0.00038704095804
X=8, Y=6, distance between=8.34794223225e-05
X=8, Y=7, distance between=8.34794223223e-05
X=8, Y=8, distance between=0.0
X=8, Y=9, distance between=0.000508465572327
X=8, Y=10, distance between=0.000394629996433
X=8, Y=11, distance between=0.00264098536074
X=8, Y=12, distance between=9.86574991083e-05
X=8, Y=13, distance between=0.000144191729466
X=8, Y=14, distance between=0.000432575188398
X=8, Y=15, distance between=0.000766492877687
X=8, Y=16, distance between=0.000121424614287
X=8, Y=17, distance between=0.000508465572327
X=8, Y=18, distance between=0.00100934210626
X=8, Y=19, distance between=0.000629890186614
X=8, Y=20, distance between=0.000493287495541
X=8, Y=21, distance between=2.27671151789e-05
X=8, Y=22, distance between=0.000538821725899
X=8, Y=23, distance between=0.000273205382146
X=8, Y=24, distance between=0.000971396914297
X=8, Y=25, distance between=0.00100934210626
X=8, Y=26, distance between=0.00124460229644
X=8, Y=27, distance between=6.07123071436e-05
X=8, Y=28, distance between=0.0012901365268
X=8, Y=29, distance between=0.000280794420539
X=8, Y=30, distance between=0.000295972497325
X=8, Y=31, distance between=0.00133567075716
X=8, Y=32, distance between=0.000227671151788
X=8, Y=33, distance between=0.000318739612504
Best distance for picture 9 was 2.27671151789e-05 at Y = 22
X=9, Y=0, distance between=0.00155575287055
X=9, Y=1, distance between=0.000728547685723
X=9, Y=2, distance between=0.000174547883038
X=9, Y=3, distance between=9.10684607154e-05
X=9, Y=4, distance between=8.34794223225e-05
X=9, Y=5, distance between=0.000895506530368
X=9, Y=6, distance between=0.00059194499465
X=9, Y=7, distance between=0.000424986150005
X=9, Y=8, distance between=0.000508465572327
X=9, Y=9, distance between=0.0
X=9, Y=10, distance between=0.000113835575894
X=9, Y=11, distance between=0.00213251978842
